gameid,winning_team_champions,losing_team_champions
10000-10000_game_1,"[12, 18, 59, 9, 38]","[1, 6, 29, 60, 51]"
10000-10000_game_2,"[1, 72, 14, 37, 90]","[47, 50, 59, 75, 117]"
10000-10000_game_3,"[12, 132, 91, 30, 90]","[32, 6, 47, 75, 155]"
10000-10000_game_4,"[22, 23, 40, 9, 31]","[125, 87, 3, 15, 16]"
10000-10000_game_5,"[110, 109, 14, 37, 38]","[26, 2, 158, 20, 51]"
10001-10001_game_1,"[12, 87, 45, 37, 90]","[17, 7, 34, 106, 27]"
10001-10001_game_2,"[70, 128, 14, 75, 155]","[15, 23, 53, 37, 90]"
10001-10001_game_3,"[1, 18, 53, 15, 16]","[78, 85, 12, 65, 83]"
10002-10002_game_1,"[55, 23, 53, 75, 114]","[12, 72, 99, 95, 31]"
10002-10002_game_2,"[22, 92, 47, 65, 79]","[110, 50, 59, 95, 51]"
10002-10002_game_3,"[49, 87, 77, 37, 25]","[82, 132, 133, 30, 90]"
10002-10002_game_4,"[110, 18, 59, 75, 51]","[88, 6, 29, 9, 31]"
10003-10003_game_1,"[88, 50, 59, 75, 51]","[12, 6, 14, 9, 100]"
10003-10003_game_2,"[1, 6, 44, 37, 90]","[110, 18, 53, 75, 155]"
10003-10003_game_3,"[12, 73, 40, 95, 114]","[82, 87, 44, 37, 90]"
10004-10004_game_1,"[1, 23, 14, 37, 51]","[47, 18, 133, 75, 41]"
10004-10004_game_2,"[49, 6, 29, 9, 51]","[125, 3, 12, 95, 31]"
10004-10004_game_3,"[12, 23, 53, 95, 114]","[47, 18, 34, 9, 100]"
10004-10004_game_4,"[55, 73, 59, 37, 61]","[32, 92, 120, 24, 79]"
10005-10005_game_1,"[49, 23, 155, 24, 41]","[110, 18, 14, 75, 51]"
10005-10005_game_2,"[49, 23, 36, 95, 41]","[47, 6, 27, 75, 51]"
10005-10005_game_3,"[49, 23, 40, 37, 51]","[12, 13, 36, 9, 90]"
10005-10005_game_4,"[47, 18, 53, 9, 41]","[49, 23, 3, 75, 51]"
10006-10006_game_1,"[58, 18, 36, 15, 16]","[12, 72, 14, 75, 51]"
10006-10006_game_2,"[12, 18, 53, 15, 16]","[43, 72, 108, 75, 51]"
10006-10006_game_3,"[110, 72, 99, 15, 16]","[12, 87, 155, 24, 51]"
10006-10006_game_4,"[17, 18, 53, 37, 51]","[110, 72, 14, 75, 90]"
10007-10007_game_1,"[12, 18, 155, 9, 51]","[17, 23, 36, 37, 90]"
10007-10007_game_2,"[49, 7, 34, 9, 90]","[47, 87, 155, 75, 114]"
10007-10007_game_3,"[1, 87, 44, 75, 155]","[82, 7, 59, 9, 90]"
10007-10007_game_4,"[49, 87, 34, 75, 41]","[62, 7, 155, 9, 90]"
10008-10008_game_1,"[12, 72, 29, 15, 16]","[110, 23, 53, 9, 31]"
10008-10008_game_2,"[133, 23, 99, 37, 90]","[1, 6, 36, 75, 25]"
10008-10008_game_3,"[47, 23, 53, 9, 31]","[110, 92, 99, 37, 90]"
10008-10008_game_4,"[12, 23, 29, 75, 114]","[17, 72, 99, 9, 31]"
10008-10008_game_5,"[49, 87, 53, 75, 114]","[78, 23, 77, 37, 90]"
10009-10009_game_1,"[17, 23, 155, 9, 61]","[12, 87, 36, 95, 114]"
10009-10009_game_2,"[78, 87, 44, 9, 41]","[49, 72, 48, 95, 114]"
10009-10009_game_3,"[49, 18, 34, 75, 114]","[12, 7, 155, 24, 51]"
10010-10010_game_1,"[110, 23, 44, 37, 90]","[1, 6, 3, 9, 51]"
