team1_champ1,team1_champ2,team1_champ3,team1_champ4,team1_champ5,team2_champ1,team2_champ2,team2_champ3,team2_champ4,team2_champ5,result
26,73,38,14,43,163,153,5,159,15,0
26,30,46,75,66,12,2,5,53,140,1
45,73,12,53,102,163,139,103,143,66,0
24,55,158,159,40,69,70,35,48,91,1
56,47,46,75,15,28,86,116,71,43,1
163,70,128,75,66,152,148,141,68,20,1
52,27,46,53,102,48,55,145,75,66,1
26,153,145,48,91,74,19,163,104,3,1
163,30,83,93,40,6,55,145,53,37,0
56,2,5,93,43,24,77,12,104,79,0
36,70,60,75,160,67,139,13,143,66,1
61,73,38,159,40,56,153,5,53,43,0
163,73,46,159,44,61,2,5,53,43,0
26,73,39,75,66,56,153,145,53,102,1
163,7,158,93,37,67,70,39,75,66,1
26,55,46,75,43,12,153,13,53,10,1
36,73,38,159,43,69,35,163,93,40,1
12,153,141,159,44,163,55,145,93,37,0
6,7,5,75,121,45,77,78,137,79,1
36,55,102,137,10,56,153,46,53,43,1
12,73,20,53,43,36,55,49,93,10,0
36,55,158,75,43,163,135,49,159,66,1
36,55,35,53,43,12,153,145,159,10,0
16,153,49,48,91,163,30,46,53,43,1
163,153,145,48,91,34,30,112,53,43,1
163,70,102,137,43,56,30,83,48,91,0
56,30,46,53,66,152,153,145,75,43,0
163,153,102,159,43,152,55,49,75,66,1
36,148,141,159,66,12,70,102,53,37,1
67,148,5,159,66,26,70,39,53,102,0
36,70,141,53,10,92,148,102,159,66,1
56,55,145,159,40,163,30,38,48,91,0
13,55,83,75,66,26,73,49,53,160,1
12,55,145,159,40,56,77,83,75,66,1
163,55,38,53,37,152,30,83,159,40,1
74,55,60,75,66,36,70,145,53,37,0
163,70,49,93,37,152,55,102,159,121,0
36,30,76,93,37,74,70,39,159,10,0
36,153,141,53,37,163,148,102,137,43,1
26,73,35,159,43,56,55,39,75,66,0
67,55,49,159,102,163,30,20,75,66,0
67,55,145,159,40,163,73,20,75,66,1
36,153,38,75,160,67,55,141,71,66,1
56,148,102,159,40,152,73,76,48,91,1
36,7,5,53,40,88,70,102,48,91,1
12,73,76,137,140,26,55,141,75,66,0
56,55,145,159,40,26,70,141,53,37,1
28,7,5,53,43,34,55,17,93,10,0
45,55,102,159,10,163,70,145,75,66,0
36,148,102,53,40,56,55,145,159,66,1
56,153,145,53,160,26,73,141,75,66,0
163,70,38,53,37,56,77,76,159,40,0
36,55,102,159,66,67,153,39,53,40,1
36,30,20,53,37,74,55,102,159,10,1
26,148,141,53,66,163,55,38,159,102,1
